scenario,year,rep,pol
fit_party_prev_only,2014,0,0.5000416040420532
fit_party_prev_only,2014,1,0.500023603439331
fit_party_prev_only,2014,2,0.5000150799751282
fit_party_prev_only,2014,3,0.50002521276474
fit_party_prev_only,2014,4,0.5000237822532654
fit_party_prev_only,2015,0,0.5000163316726685
fit_party_prev_only,2015,1,0.5000082850456238
fit_party_prev_only,2015,2,0.5000063180923462
fit_party_prev_only,2015,3,0.5000172853469849
fit_party_prev_only,2015,4,0.5000109672546387
fit_party_prev_only,2016,0,0.500005841255188
fit_party_prev_only,2016,1,0.5000371932983398
fit_party_prev_only,2016,2,0.5000509023666382
fit_party_prev_only,2016,3,0.5000068545341492
fit_party_prev_only,2016,4,0.5000278949737549
fit_party_prev_only,2017,0,0.5000095963478088
fit_party_prev_only,2017,1,0.5000113248825073
fit_party_prev_only,2017,2,0.5000289678573608
fit_party_prev_only,2017,3,0.5000358819961548
fit_party_prev_only,2017,4,0.5000076293945312
fit_party_prev_only,2018,0,0.5000078082084656
fit_party_prev_only,2018,1,0.5000065565109253
fit_party_prev_only,2018,2,0.5000145435333252
fit_party_prev_only,2018,3,0.5000056028366089
fit_party_prev_only,2018,4,0.5000147223472595
fit_party_prev_only,2019,0,0.5000197291374207
fit_party_prev_only,2019,1,0.5000136494636536
fit_party_prev_only,2019,2,0.5000090003013611
fit_party_prev_only,2019,3,0.5000108480453491
fit_party_prev_only,2019,4,0.5000486373901367
fit_party_prev_only,2020,0,0.5000134110450745
fit_party_prev_only,2020,1,0.5000371336936951
fit_party_prev_only,2020,2,0.5000087022781372
fit_party_prev_only,2020,3,0.500024139881134
fit_party_prev_only,2020,4,0.5000226497650146
fit_party_prev_only,2022,0,0.5000455975532532
fit_party_prev_only,2022,1,0.5000357031822205
fit_party_prev_only,2022,2,0.5000187158584595
fit_party_prev_only,2022,3,0.5000343918800354
fit_party_prev_only,2022,4,0.5000300407409668
fit_party_prev_only,2023,0,0.5000247359275818
fit_party_prev_only,2023,1,0.5000685453414917
fit_party_prev_only,2023,2,0.5000495910644531
fit_party_prev_only,2023,3,0.5000185370445251
fit_party_prev_only,2023,4,0.5000174641609192
fit_party_prev_only,2024,0,0.5000523924827576
fit_party_prev_only,2024,1,0.5000408887863159
fit_party_prev_only,2024,2,0.5000321865081787
fit_party_prev_only,2024,3,0.5000261068344116
fit_party_prev_only,2024,4,0.5000253915786743
fit_party_cont_only,1994,0,0.5129542946815491
fit_party_cont_only,1994,1,0.5128741264343262
fit_party_cont_only,1994,2,0.5129579901695251
fit_party_cont_only,1994,3,0.5129421949386597
fit_party_cont_only,1994,4,0.5129370093345642
fit_party_cont_only,1995,0,0.5127685070037842
fit_party_cont_only,1995,1,0.5126893520355225
fit_party_cont_only,1995,2,0.5128406286239624
fit_party_cont_only,1995,3,0.5128964781761169
fit_party_cont_only,1995,4,0.5125067234039307
fit_party_cont_only,1996,0,0.5123846530914307
fit_party_cont_only,1996,1,0.5125486850738525
fit_party_cont_only,1996,2,0.512590229511261
fit_party_cont_only,1996,3,0.5125586986541748
fit_party_cont_only,1996,4,0.512454628944397
fit_party_cont_only,1997,0,0.5121710300445557
fit_party_cont_only,1997,1,0.512418806552887
fit_party_cont_only,1997,2,0.5125293731689453
fit_party_cont_only,1997,3,0.5124090313911438
fit_party_cont_only,1997,4,0.5125511884689331
fit_party_cont_only,1998,0,0.5124653577804565
fit_party_cont_only,1998,1,0.5124647617340088
fit_party_cont_only,1998,2,0.5123900175094604
fit_party_cont_only,1998,3,0.512311577796936
fit_party_cont_only,1998,4,0.512363851070404
fit_party_cont_only,1999,0,0.5123780965805054
fit_party_cont_only,1999,1,0.5122673511505127
fit_party_cont_only,1999,2,0.5123205184936523
fit_party_cont_only,1999,3,0.5120329260826111
fit_party_cont_only,1999,4,0.5122366547584534
fit_party_cont_only,2000,0,0.5121550559997559
fit_party_cont_only,2000,1,0.5120927095413208
fit_party_cont_only,2000,2,0.512161374092102
fit_party_cont_only,2000,3,0.5123615860939026
fit_party_cont_only,2000,4,0.5122857093811035
fit_party_cont_only,2001,0,0.5121383666992188
fit_party_cont_only,2001,1,0.5121191740036011
fit_party_cont_only,2001,2,0.5120936632156372
fit_party_cont_only,2001,3,0.5124318599700928
fit_party_cont_only,2001,4,0.5123578906059265
fit_party_cont_only,2002,0,0.512087881565094
fit_party_cont_only,2002,1,0.512328565120697
fit_party_cont_only,2002,2,0.5122001767158508
fit_party_cont_only,2002,3,0.5121010541915894
fit_party_cont_only,2002,4,0.5123953819274902
fit_party_cont_only,2003,0,0.5123128890991211
fit_party_cont_only,2003,1,0.5120152235031128
fit_party_cont_only,2003,2,0.5122739672660828
fit_party_cont_only,2003,3,0.5121753811836243
fit_party_cont_only,2003,4,0.5124763250350952
fit_party_cont_only,2004,0,0.5122343301773071
fit_party_cont_only,2004,1,0.5123242139816284
fit_party_cont_only,2004,2,0.5120916366577148
fit_party_cont_only,2004,3,0.5124953985214233
fit_party_cont_only,2004,4,0.5122823119163513
fit_party_cont_only,2005,0,0.512609601020813
fit_party_cont_only,2005,1,0.5122745037078857
fit_party_cont_only,2005,2,0.5124586820602417
fit_party_cont_only,2005,3,0.5121384263038635
fit_party_cont_only,2005,4,0.5126356482505798
fit_party_cont_only,2006,0,0.5124629139900208
fit_party_cont_only,2006,1,0.5124014616012573
fit_party_cont_only,2006,2,0.5127319097518921
fit_party_cont_only,2006,3,0.5126659870147705
fit_party_cont_only,2006,4,0.5127679109573364
fit_party_cont_only,2007,0,0.5127081871032715
fit_party_cont_only,2007,1,0.512748122215271
fit_party_cont_only,2007,2,0.5128403902053833
fit_party_cont_only,2007,3,0.512656569480896
fit_party_cont_only,2007,4,0.5127233266830444
fit_party_cont_only,2008,0,0.5129441022872925
fit_party_cont_only,2008,1,0.5128722190856934
